soc_code,element_name,importance_score,source
11-3031,Active Learning,4.0,skill
11-3031,Learning Strategies,3.0,skill
11-3031,Learning Strategies,3.38,skill
11-3031,Monitoring,3.75,skill
11-3031,Monitoring,4.12,skill
11-3031,Reading Comprehension,4.12,skill
11-3031,Reading Comprehension,4.25,skill
11-3031,Active Listening,3.88,skill
11-3031,Active Listening,4.25,skill
11-3031,Writing,3.62,skill
11-3031,Writing,4.12,skill
11-3031,Speaking,4.0,skill
11-3031,Speaking,4.25,skill
11-3031,Mathematics,3.75,skill
11-3031,Mathematics,4.25,skill
11-3031,Science,1.25,skill
11-3031,Science,0.25,skill
11-3031,Critical Thinking,4.12,skill
11-3031,Critical Thinking,4.75,skill
11-3031,Active Learning,3.62,skill
11-3031,Active Learning,4.25,skill
11-3031,Learning Strategies,3.0,skill
11-3031,Learning Strategies,3.38,skill
11-3031,Monitoring,3.88,skill
11-3031,Monitoring,4.5,skill
11-3031,Reading Comprehension,4.0,skill
11-3031,Reading Comprehension,4.25,skill
11-3031,Active Listening,4.0,skill
11-3031,Active Listening,4.12,skill
11-3031,Writing,3.62,skill
11-3031,Writing,3.88,skill
11-3031,Speaking,3.88,skill
11-3031,Speaking,4.12,skill
11-3031,Mathematics,3.38,skill
11-3031,Mathematics,3.62,skill
11-3031,Science,1.0,skill
11-3031,Science,0.0,skill
11-3031,Critical Thinking,4.0,skill
11-3031,Critical Thinking,4.0,skill
11-3031,Active Learning,3.75,skill
11-3031,Active Learning,3.88,skill
11-3031,Learning Strategies,2.88,skill
11-3031,Learning Strategies,3.12,skill
11-3031,Monitoring,3.5,skill
11-3031,Monitoring,4.0,skill
11-3051,Reading Comprehension,3.88,skill
11-3051,Reading Comprehension,4.0,skill
11-3051,Active Listening,3.88,skill
11-3051,Active Listening,4.0,skill
11-3051,Writing,3.38,skill
11-3051,Writing,4.0,skill
11-3051,Speaking,4.0,skill
11-3051,Speaking,4.0,skill
11-3051,Mathematics,3.38,skill
11-3051,Mathematics,3.75,skill
11-3051,Science,1.62,skill
11-3051,Science,1.12,skill
11-3051,Critical Thinking,4.0,skill
11-3051,Critical Thinking,4.0,skill
11-3051,Active Learning,3.62,skill
11-3051,Active Learning,4.0,skill
11-3051,Learning Strategies,3.75,skill
11-3051,Learning Strategies,4.0,skill
11-3051,Monitoring,4.0,skill
11-3051,Monitoring,4.88,skill
11-3051,Reading Comprehension,4.0,skill
11-3051,Reading Comprehension,4.12,skill
11-3051,Active Listening,3.88,skill
11-3051,Active Listening,4.12,skill
11-3051,Writing,3.88,skill
11-3051,Writing,4.0,skill
11-3051,Speaking,3.88,skill
11-3051,Speaking,4.12,skill
11-3051,Mathematics,3.12,skill
11-3051,Mathematics,3.25,skill
11-3051,Science,2.25,skill
11-3051,Science,2.25,skill
11-3051,Critical Thinking,3.75,skill
11-3051,Critical Thinking,4.12,skill
11-3051,Active Learning,3.62,skill
11-3051,Active Learning,4.12,skill
11-3051,Learning Strategies,3.12,skill
11-3051,Learning Strategies,3.38,skill
11-3051,Monitoring,3.88,skill
11-3051,Monitoring,4.5,skill
11-3051,Reading Comprehension,3.88,skill
11-3051,Reading Comprehension,4.25,skill
11-3051,Active Listening,3.62,skill
11-3051,Active Listening,3.62,skill
11-3051,Writing,3.62,skill
11-3051,Writing,3.75,skill
11-3051,Speaking,3.88,skill
11-3051,Speaking,4.0,skill
11-3051,Mathematics,3.25,skill
11-3051,Mathematics,3.75,skill
11-3051,Science,2.38,skill
11-3051,Science,2.5,skill
11-3051,Critical Thinking,4.0,skill
11-3051,Critical Thinking,3.88,skill
11-3051,Active Learning,3.5,skill
11-3051,Active Learning,3.25,skill
11-3051,Learning Strategies,3.25,skill
11-3051,Learning Strategies,3.38,skill
11-3051,Monitoring,3.88,skill
11-3051,Monitoring,4.38,skill
11-3051,Reading Comprehension,3.88,skill
11-3051,Reading Comprehension,4.0,skill
11-3051,Active Listening,3.75,skill
11-3051,Active Listening,3.88,skill
11-3051,Writing,3.5,skill
11-3051,Writing,3.5,skill
11-3051,Speaking,3.62,skill
11-3051,Speaking,4.0,skill
11-3051,Mathematics,3.0,skill
11-3051,Mathematics,3.25,skill
11-3051,Science,3.0,skill
11-3051,Science,3.5,skill
11-3051,Critical Thinking,3.88,skill
11-3051,Critical Thinking,3.88,skill
11-3051,Active Learning,3.25,skill
11-3051,Active Learning,3.62,skill
11-3051,Learning Strategies,3.38,skill
11-3051,Learning Strategies,3.5,skill
11-3051,Monitoring,3.75,skill
11-3051,Monitoring,3.88,skill
11-3051,Reading Comprehension,3.88,skill
11-3051,Reading Comprehension,4.25,skill
11-3051,Active Listening,3.88,skill
11-3051,Active Listening,3.88,skill
11-3051,Writing,3.12,skill
11-3051,Writing,3.75,skill
11-3051,Speaking,4.0,skill
11-3051,Speaking,4.0,skill
11-3051,Mathematics,3.0,skill
11-3051,Mathematics,3.25,skill
11-3051,Science,2.5,skill
11-3051,Science,2.5,skill
11-3051,Critical Thinking,4.0,skill
11-3051,Critical Thinking,4.0,skill
11-3051,Active Learning,3.12,skill
11-3051,Active Learning,3.38,skill
11-3051,Learning Strategies,3.0,skill
11-3051,Learning Strategies,3.12,skill
11-3051,Monitoring,3.88,skill
11-3051,Monitoring,4.62,skill
11-3051,Reading Comprehension,3.88,skill
11-3051,Reading Comprehension,4.12,skill
11-3051,Active Listening,4.12,skill
11-3051,Active Listening,4.0,skill
11-3051,Writing,3.5,skill
11-3051,Writing,3.88,skill
11-3051,Speaking,4.12,skill
11-3051,Speaking,4.12,skill
11-3051,Mathematics,3.25,skill
11-3051,Mathematics,3.5,skill
11-3051,Science,3.25,skill
11-3051,Science,3.25,skill
11-3051,Critical Thinking,3.75,skill
11-3051,Critical Thinking,4.0,skill
11-3051,Active Learning,3.62,skill
11-3051,Active Learning,3.62,skill
11-3051,Learning Strategies,3.62,skill
11-3051,Learning Strategies,3.75,skill
11-3051,Monitoring,3.88,skill
11-3051,Monitoring,3.75,skill
11-3061,Reading Comprehension,3.88,skill
11-3061,Reading Comprehension,4.0,skill
11-3061,Active Listening,4.0,skill
11-3061,Active Listening,4.0,skill
11-3061,Writing,3.88,skill
11-3061,Writing,4.0,skill
11-3061,Speaking,4.0,skill
11-3061,Speaking,4.0,skill
11-3061,Mathematics,3.12,skill
11-3061,Mathematics,3.12,skill
11-3061,Science,1.0,skill
11-3061,Science,0.0,skill
11-3061,Critical Thinking,3.75,skill
11-3061,Critical Thinking,4.0,skill
11-3061,Active Learning,3.25,skill
11-3061,Active Learning,3.75,skill
11-3061,Learning Strategies,3.0,skill
11-3061,Learning Strategies,3.75,skill
11-3061,Monitoring,3.88,skill
11-3061,Monitoring,4.0,skill
11-3071,Reading Comprehension,3.88,skill
11-3071,Reading Comprehension,3.75,skill
11-3071,Active Listening,3.88,skill
11-3071,Active Listening,3.88,skill
11-3071,Writing,3.62,skill
11-3071,Writing,3.62,skill
11-3071,Speaking,3.62,skill
11-3071,Speaking,3.75,skill
11-3071,Mathematics,2.75,skill
11-3071,Mathematics,2.88,skill
11-3071,Science,1.0,skill
11-3071,Science,0.0,skill
11-3071,Critical Thinking,3.62,skill
11-3071,Critical Thinking,3.62,skill
11-3071,Active Learning,3.62,skill
11-3071,Active Learning,3.62,skill
11-3071,Learning Strategies,3.38,skill
11-3071,Learning Strategies,3.25,skill
11-3071,Monitoring,3.75,skill
11-3071,Monitoring,3.75,skill
11-3071,Reading Comprehension,4.0,skill
11-3071,Reading Comprehension,4.0,skill
11-3071,Active Listening,4.0,skill
11-3071,Active Listening,4.0,skill
11-3071,Writing,3.88,skill
11-3071,Writing,4.0,skill
11-3071,Speaking,4.0,skill
11-3071,Speaking,4.0,skill
11-3071,Mathematics,3.0,skill
11-3071,Mathematics,3.0,skill
11-3071,Science,1.12,skill
11-3071,Science,0.38,skill
11-3071,Critical Thinking,3.88,skill
11-3071,Critical Thinking,4.0,skill
11-3071,Active Learning,3.75,skill
11-3071,Active Learning,3.75,skill
11-3071,Learning Strategies,3.0,skill
11-3071,Learning Strategies,3.25,skill
11-3071,Monitoring,4.0,skill
11-3071,Monitoring,4.12,skill
11-3111,Reading Comprehension,4.0,skill
11-3111,Reading Comprehension,4.12,skill
11-3111,Active Listening,4.0,skill
11-3111,Active Listening,4.12,skill
11-3111,Writing,4.0,skill
11-3111,Writing,4.12,skill
11-3111,Speaking,4.0,skill
11-3111,Speaking,4.12,skill
11-3111,Mathematics,3.0,skill
11-3111,Mathematics,3.12,skill
11-3111,Science,1.0,skill
11-3111,Science,0.0,skill
11-3111,Critical Thinking,3.88,skill
11-3111,Critical Thinking,4.0,skill
11-3111,Active Learning,3.75,skill
11-3111,Active Learning,4.0,skill
11-3111,Learning Strategies,3.0,skill
11-3111,Learning Strategies,3.12,skill
11-3111,Monitoring,3.38,skill
11-3111,Monitoring,3.62,skill
11-3121,Reading Comprehension,4.25,skill
11-3121,Reading Comprehension,4.38,skill
11-3121,Active Listening,4.38,skill
11-3121,Active Listening,4.12,skill
11-3121,Writing,4.12,skill
11-3121,Writing,4.0,skill
11-3121,Speaking,4.25,skill
11-3121,Speaking,4.12,skill
11-3121,Mathematics,3.0,skill
11-3121,Mathematics,3.0,skill
11-3121,Science,1.5,skill
11-3121,Science,0.5,skill
11-3121,Critical Thinking,4.0,skill
11-3121,Critical Thinking,4.25,skill
11-3121,Active Learning,4.0,skill
11-3121,Active Learning,4.12,skill
11-3121,Learning Strategies,3.75,skill
11-3121,Learning Strategies,3.88,skill
11-3121,Monitoring,4.0,skill
11-3121,Monitoring,4.12,skill
11-3131,Reading Comprehension,4.0,skill
11-3131,Reading Comprehension,4.0,skill
11-3131,Active Listening,4.0,skill
11-3131,Active Listening,4.0,skill
11-3131,Writing,3.88,skill
11-3131,Writing,4.12,skill
11-3131,Speaking,4.0,skill
11-3131,Speaking,4.5,skill
11-3131,Mathematics,2.88,skill
11-3131,Mathematics,2.88,skill
11-3131,Science,1.5,skill
11-3131,Science,0.38,skill
11-3131,Critical Thinking,3.75,skill
11-3131,Critical Thinking,4.0,skill
11-3131,Active Learning,3.75,skill
11-3131,Active Learning,4.25,skill
11-3131,Learning Strategies,4.25,skill
11-3131,Learning Strategies,5.25,skill
11-3131,Monitoring,3.88,skill
11-3131,Monitoring,4.0,skill
11-9013,Reading Comprehension,3.75,skill
11-9013,Reading Comprehension,4.25,skill
11-9013,Active Listening,3.88,skill
11-9013,Active Listening,4.0,skill
11-9013,Writing,3.25,skill
11-9013,Writing,3.62,skill
11-9013,Speaking,3.62,skill
11-9013,Speaking,4.12,skill
11-9013,Mathematics,2.88,skill
11-9013,Mathematics,3.0,skill
11-9013,Science,2.62,skill
11-9013,Science,2.5,skill
11-9013,Critical Thinking,3.88,skill
11-9013,Critical Thinking,4.0,skill
11-9013,Active Learning,3.38,skill
11-9013,Active Learning,3.62,skill
11-9013,Learning Strategies,2.88,skill
11-9013,Learning Strategies,3.25,skill
11-9013,Monitoring,3.38,skill
11-9013,Monitoring,3.75,skill
11-9021,Reading Comprehension,3.88,skill
11-9021,Reading Comprehension,4.25,skill
11-9021,Active Listening,4.0,skill
11-9021,Active Listening,4.12,skill
11-9021,Writing,3.75,skill
11-9021,Writing,3.88,skill
11-9021,Speaking,3.88,skill
11-9021,Speaking,4.12,skill
11-9021,Mathematics,3.5,skill
11-9021,Mathematics,3.88,skill
11-9021,Science,2.12,skill
11-9021,Science,2.0,skill
11-9021,Critical Thinking,4.0,skill
11-9021,Critical Thinking,4.38,skill
11-9021,Active Learning,3.88,skill
11-9021,Active Learning,4.0,skill
11-9021,Learning Strategies,3.12,skill
11-9021,Learning Strategies,3.25,skill
11-9021,Monitoring,3.88,skill
11-9021,Monitoring,4.5,skill
11-9031,Reading Comprehension,4.0,skill
11-9031,Reading Comprehension,4.12,skill
11-9031,Active Listening,4.0,skill
11-9031,Active Listening,4.0,skill
11-9031,Writing,3.75,skill
11-9031,Writing,4.0,skill
11-9031,Speaking,4.0,skill
11-9031,Speaking,4.0,skill
11-9031,Mathematics,2.88,skill
11-9031,Mathematics,2.88,skill
11-9031,Science,1.5,skill
11-9031,Science,0.75,skill
11-9031,Critical Thinking,4.0,skill
11-9031,Critical Thinking,4.0,skill
11-9031,Active Learning,3.5,skill
11-9031,Active Learning,3.88,skill
11-9031,Learning Strategies,3.62,skill
11-9031,Learning Strategies,3.88,skill
11-9031,Monitoring,4.0,skill
11-9031,Monitoring,4.12,skill
11-9032,Reading Comprehension,4.5,skill
11-9032,Reading Comprehension,4.75,skill
11-9032,Active Listening,4.75,skill
11-9032,Active Listening,4.62,skill
11-9032,Writing,4.5,skill
11-9032,Writing,4.88,skill
11-9032,Speaking,4.88,skill
11-9032,Speaking,4.75,skill
11-9032,Mathematics,3.0,skill
11-9032,Mathematics,3.38,skill
11-9032,Science,1.88,skill
11-9032,Science,1.25,skill
11-9032,Critical Thinking,4.5,skill
11-9032,Critical Thinking,4.62,skill
11-9032,Active Learning,4.0,skill
11-9032,Active Learning,4.12,skill
11-9032,Learning Strategies,4.62,skill
11-9032,Learning Strategies,5.0,skill
11-9032,Monitoring,4.25,skill
11-9032,Monitoring,4.88,skill
11-9033,Reading Comprehension,4.12,skill
11-9033,Reading Comprehension,4.62,skill
11-9033,Active Listening,4.0,skill
11-9033,Active Listening,4.25,skill
11-9033,Writing,4.0,skill
11-9033,Writing,4.25,skill
11-9033,Speaking,4.0,skill
11-9033,Speaking,4.25,skill
11-9033,Mathematics,2.88,skill
11-9033,Mathematics,3.12,skill
11-9033,Science,1.5,skill
11-9033,Science,0.5,skill
11-9033,Critical Thinking,4.12,skill
11-9033,Critical Thinking,4.25,skill
11-9033,Active Learning,3.88,skill
11-9033,Active Learning,4.0,skill
11-9033,Learning Strategies,3.75,skill
11-9033,Learning Strategies,4.0,skill
11-9033,Monitoring,4.0,skill
11-9033,Monitoring,4.25,skill
11-9041,Reading Comprehension,4.12,skill
11-9041,Reading Comprehension,4.38,skill
11-9041,Active Listening,4.0,skill
11-9041,Active Listening,4.0,skill
11-9041,Writing,4.0,skill
11-9041,Writing,4.12,skill
11-9041,Speaking,4.0,skill
11-9041,Speaking,4.0,skill
11-9041,Mathematics,3.88,skill
11-9041,Mathematics,4.25,skill
11-9041,Science,2.62,skill
11-9041,Science,2.75,skill
11-9041,Critical Thinking,3.88,skill
11-9041,Critical Thinking,4.25,skill
11-9041,Active Learning,3.88,skill
11-9041,Active Learning,3.88,skill
11-9041,Learning Strategies,3.25,skill
11-9041,Learning Strategies,3.12,skill
11-9041,Monitoring,3.75,skill
11-9041,Monitoring,4.0,skill
11-9041,Reading Comprehension,3.62,skill
11-9041,Reading Comprehension,4.25,skill
11-9041,Active Listening,3.5,skill
11-9041,Active Listening,3.62,skill
11-9041,Writing,3.62,skill
11-9041,Writing,3.88,skill
11-9041,Speaking,3.62,skill
11-9041,Speaking,3.5,skill
11-9041,Mathematics,3.12,skill
11-9041,Mathematics,3.12,skill
11-9041,Science,3.12,skill
11-9041,Science,3.0,skill
11-9041,Critical Thinking,3.62,skill
11-9041,Critical Thinking,4.12,skill
11-9041,Active Learning,3.25,skill
11-9041,Active Learning,3.75,skill
11-9041,Learning Strategies,2.88,skill
11-9041,Learning Strategies,3.25,skill
11-9041,Monitoring,3.25,skill
11-9041,Monitoring,3.88,skill
11-9051,Reading Comprehension,3.75,skill
11-9051,Reading Comprehension,3.88,skill
11-9051,Active Listening,3.88,skill
11-9051,Active Listening,3.5,skill
11-9051,Writing,3.0,skill
11-9051,Writing,3.12,skill
11-9051,Speaking,3.88,skill
11-9051,Speaking,4.0,skill
11-9051,Mathematics,2.88,skill
11-9051,Mathematics,2.88,skill
11-9051,Science,1.62,skill
11-9051,Science,0.62,skill
11-9051,Critical Thinking,3.62,skill
11-9051,Critical Thinking,3.75,skill
11-9051,Active Learning,3.12,skill
11-9051,Active Learning,3.75,skill
11-9051,Learning Strategies,3.12,skill
11-9051,Learning Strategies,3.12,skill
11-9051,Monitoring,3.88,skill
11-9051,Monitoring,3.88,skill
11-9071,Reading Comprehension,3.5,skill
11-9071,Reading Comprehension,3.88,skill
11-9071,Active Listening,3.75,skill
11-9071,Active Listening,3.75,skill
11-9071,Writing,3.62,skill
11-9071,Writing,3.88,skill
11-9071,Speaking,3.88,skill
11-9071,Speaking,3.88,skill
11-9071,Mathematics,3.12,skill
11-9071,Mathematics,3.12,skill
11-9071,Science,1.62,skill
11-9071,Science,0.62,skill
11-9071,Critical Thinking,4.0,skill
11-9071,Critical Thinking,4.0,skill
11-9071,Active Learning,3.5,skill
11-9071,Active Learning,3.62,skill
11-9071,Learning Strategies,3.25,skill
11-9071,Learning Strategies,3.38,skill
11-9071,Monitoring,3.88,skill
11-9071,Monitoring,4.0,skill
11-9072,Reading Comprehension,3.75,skill
11-9072,Reading Comprehension,3.88,skill
11-9072,Active Listening,3.88,skill
11-9072,Active Listening,4.0,skill
11-9072,Writing,3.62,skill
11-9072,Writing,4.0,skill
11-9072,Speaking,3.88,skill
11-9072,Speaking,4.12,skill
11-9072,Mathematics,2.38,skill
11-9072,Mathematics,2.38,skill
11-9072,Science,1.25,skill
11-9072,Science,0.5,skill
11-9072,Critical Thinking,3.75,skill
11-9072,Critical Thinking,3.75,skill
11-9072,Active Learning,3.38,skill
11-9072,Active Learning,3.62,skill
11-9072,Learning Strategies,3.12,skill
11-9072,Learning Strategies,3.75,skill
11-9072,Monitoring,3.5,skill
11-9072,Monitoring,3.5,skill
11-9081,Reading Comprehension,3.88,skill
11-9081,Reading Comprehension,3.88,skill
11-9081,Active Listening,4.12,skill
11-9081,Active Listening,4.0,skill
11-9081,Writing,3.88,skill
11-9081,Writing,4.0,skill
11-9081,Speaking,4.0,skill
11-9081,Speaking,4.0,skill
11-9081,Mathematics,2.62,skill
11-9081,Mathematics,2.88,skill
11-9081,Science,1.0,skill
11-9081,Science,0.0,skill
11-9081,Critical Thinking,3.75,skill
11-9081,Critical Thinking,3.88,skill
11-9081,Active Learning,3.75,skill
11-9081,Active Learning,3.88,skill
11-9081,Learning Strategies,3.38,skill
11-9081,Learning Strategies,3.62,skill
11-9081,Monitoring,3.75,skill
11-9081,Monitoring,3.75,skill
11-9111,Reading Comprehension,4.0,skill
11-9111,Reading Comprehension,4.12,skill
11-9111,Active Listening,4.0,skill
11-9111,Active Listening,4.12,skill
11-9111,Writing,4.0,skill
11-9111,Writing,4.0,skill
11-9111,Speaking,4.12,skill
11-9111,Speaking,4.0,skill
11-9111,Mathematics,2.75,skill
11-9111,Mathematics,3.0,skill
11-9111,Science,2.5,skill
11-9111,Science,2.5,skill
11-9111,Critical Thinking,4.12,skill
11-9111,Critical Thinking,4.12,skill
11-9111,Active Learning,3.88,skill
11-9111,Active Learning,3.88,skill
11-9111,Learning Strategies,3.25,skill
11-9111,Learning Strategies,3.88,skill
11-9111,Monitoring,4.0,skill
11-9111,Monitoring,4.12,skill
11-9121,Reading Comprehension,4.0,skill
11-9121,Reading Comprehension,5.0,skill
11-9121,Active Listening,4.0,skill
11-9121,Active Listening,4.75,skill
11-9121,Writing,3.88,skill
11-9121,Writing,5.0,skill
11-9121,Speaking,3.88,skill
11-9121,Speaking,4.25,skill
11-9121,Mathematics,3.12,skill
11-9121,Mathematics,4.0,skill
11-9121,Science,4.12,skill
11-9121,Science,4.88,skill
