skill_a,skill_b,support_occupations,support_rate,freq_a,freq_b,lift,synergy_score
Business intelligence and data analysis software,Object oriented data base management software,27,0.03064699205448354,80,32,9.291796875000001,250.87851562500003
Configuration management software,Data base reporting software,16,0.018161180476730987,31,29,15.679644048943269,250.8743047830923
Cloud-based data access and sharing software,Sales and marketing software,17,0.019296254256526674,29,35,14.755665024630543,250.84630541871923
Object or component oriented development software,Web platform development software,90,0.1021566401816118,198,144,2.7809343434343434,250.2840909090909
Analytical or scientific software,Presentation software,182,0.20658342792281498,186,629,1.3705147272509701,249.43368035967657
Development environment software,File versioning software,46,0.05221339387060159,145,52,5.3748010610079575,247.24084880636605
Enterprise application integration software,Object or component oriented development software,73,0.08286038592508513,96,198,3.3834701178451176,246.9933186026936
Electronic mail software,Operating system software,240,0.2724177071509648,638,326,1.01659711137181,243.98330672923439
Data base management system software,Enterprise application integration software,49,0.05561861520998865,91,96,4.94150641025641,242.1338141025641
Desktop publishing software,Document management software,78,0.08853575482406356,88,252,3.098755411255411,241.70292207792207
Enterprise application integration software,File versioning software,37,0.04199772985244041,96,52,6.529847756410256,241.60436698717947
Data base management system software,File versioning software,36,0.04086265607264472,91,52,6.702451394759088,241.28825021132715
Enterprise application integration software,Object oriented data base management software,29,0.032917139614074914,96,32,8.316731770833334,241.18522135416669
Customer relationship management CRM software,Sales and marketing software,29,0.032917139614074914,88,35,8.29512987012987,240.55876623376622
Content workflow software,Data base management system software,31,0.03518728717366629,39,91,7.695407156945618,238.55762186531416
Business intelligence and data analysis software,Development environment software,56,0.06356413166855845,80,145,4.253103448275862,238.17379310344828
Office suite software,Project management software,220,0.24971623155505107,813,221,1.0787374842074213,237.3222465256327
Cloud-based management software,Program testing software,18,0.02043132803632236,43,28,13.17109634551495,237.0797342192691
Object or component oriented development software,Project management software,108,0.12258796821793416,198,221,2.174413821472645,234.83669271904566
Document management software,Process mapping and design software,99,0.11237230419977298,252,146,2.3705968688845402,234.68909001956948
Object or component oriented development software,Operating system software,131,0.14869466515323496,198,326,1.7879872343062526,234.2263276941191
Data base management system software,Web platform development software,59,0.06696935300794551,91,144,3.9666514041514045,234.03243284493286
Document management software,Enterprise resource planning ERP software,141,0.16004540295119182,252,297,1.6597322430655765,234.0222462722463
Enterprise application integration software,Process mapping and design software,61,0.06923950056753689,96,146,3.8342608447488584,233.88991152968038
Data base reporting software,File versioning software,20,0.022701475595913734,29,52,11.684350132625994,233.68700265251988
Data base management system software,Project management software,73,0.08286038592508513,91,221,3.197901645865447,233.4468201481776
Cloud-based management software,Enterprise application integration software,33,0.03745743473325766,43,96,7.042877906976744,232.41497093023256
Project management software,Word processing software,212,0.24063564131668558,221,785,1.076588754070957,228.23681586304292
Electronic mail software,Project management software,191,0.21679909194097616,638,221,1.193428275578377,227.94480063547
Configuration management software,Data base management system software,27,0.03064699205448354,31,91,8.432116270825949,227.66713931230063
Data base management system software,Data mining software,29,0.032917139614074914,91,36,7.7988400488400496,226.16636141636144
Project management software,Spreadsheet software,220,0.24971623155505107,221,854,1.0269479796962921,225.92855553318427
Development environment software,Web platform development software,73,0.08286038592508513,145,144,3.080124521072797,224.8490900383142
Data base reporting software,Sales and marketing software,16,0.018161180476730987,29,35,13.88768472906404,222.20295566502463
Enterprise application integration software,Program testing software,26,0.029511918274687854,96,28,8.521577380952381,221.56101190476193
Development environment software,Operating system software,109,0.12372304199772985,145,326,2.031499894224667,221.4334884704887
Metadata management software,Procedure management software,3,0.00340522133938706,6,6,73.41666666666667,220.25
Analytical or scientific software,Data base management system software,65,0.07377979568671963,186,91,3.3832565284178187,219.91167434715823
Business intelligence and data analysis software,Data base reporting software,24,0.02724177071509648,80,29,9.113793103448277,218.73103448275864
File versioning software,Program testing software,19,0.021566401816118047,52,28,11.496565934065934,218.43475274725276
Expert system software,Internet directory services software,10,0.011350737797956867,29,14,21.699507389162562,216.99507389162562
Expert system software,Switch or router software,8,0.009080590238365494,29,9,27.003831417624518,216.03065134099614
Cloud-based data access and sharing software,Data mining software,16,0.018161180476730987,29,36,13.501915708812259,216.03065134099614
Cloud-based management software,Development environment software,39,0.04426787741203178,43,145,5.510665597433841,214.91595829991982
Application server software,Development environment software,38,0.043132803632236094,41,145,5.631286795626577,213.98889823380995
Analytical or scientific software,Geographic information system,64,0.07264472190692395,186,91,3.3312064279806215,213.19721139075978
Business intelligence and data analysis software,Sales and marketing software,26,0.029511918274687854,80,35,8.180714285714286,212.69857142857143
Data base reporting software,Program testing software,14,0.015891032917139614,29,28,15.189655172413794,212.6551724137931
Enterprise resource planning ERP software,Process mapping and design software,102,0.11577752553916004,297,146,2.072367510723675,211.38148609381486
Application server software,Business intelligence and data analysis software,28,0.03178206583427923,41,80,7.520731707317073,210.58048780487803
Object or component oriented development software,Office suite software,196,0.2224744608399546,198,813,1.072694969373936,210.24821399729146
Data base user interface and query software,Web platform development software,119,0.13507377979568672,413,144,1.7628295668549907,209.7767184557439
Data base management system software,Expert system software,25,0.028376844494892167,91,29,8.345964380447139,208.64910951117847
Data base management system software,Data base reporting software,25,0.028376844494892167,91,29,8.345964380447139,208.64910951117847
Business intelligence and data analysis software,Object or component oriented development software,61,0.06923950056753689,80,198,3.392739898989899,206.95713383838384
Content workflow software,Program testing software,16,0.018161180476730987,39,28,12.908424908424907,206.5347985347985
Graphics or photo imaging software,Presentation software,159,0.18047673098751418,172,629,1.2947739120789736,205.8690520205568
Cloud-based management software,Data mining software,19,0.021566401816118047,43,36,10.813307493540051,205.452842377261
Business intelligence and data analysis software,Process mapping and design software,52,0.05902383654937571,80,146,3.9222602739726025,203.95753424657534
Data base management system software,Sales and marketing software,27,0.03064699205448354,91,35,7.468445839874412,201.6480376766091
Business intelligence and data analysis software,Cloud-based management software,28,0.03178206583427923,80,43,7.17093023255814,200.78604651162792
Object or component oriented development software,Spreadsheet software,196,0.2224744608399546,198,854,1.0211955621791688,200.1543301871171
Configuration management software,Enterprise application integration software,26,0.029511918274687854,31,96,7.696908602150538,200.11962365591398
Analytical or scientific software,Office suite software,185,0.20998864926220204,186,813,1.0778148104061687,199.3957399251412
Presentation software,Process mapping and design software,144,0.16345062429057888,629,146,1.3814491364853976,198.92867565389724
Enterprise application integration software,Expert system software,25,0.028376844494892167,96,29,7.911278735632184,197.7819683908046
File versioning software,Object or component oriented development software,48,0.05448354143019296,52,198,4.107226107226108,197.14685314685318
Computer aided design CAD software,Spreadsheet software,191,0.21679909194097616,192,854,1.026242925448868,196.01239876073382
Data mining software,Object oriented data base management software,16,0.018161180476730987,36,32,12.23611111111111,195.77777777777777
Computer aided design CAD software,Office suite software,186,0.21112372304199772,192,813,1.0497770602706027,195.2585332103321
Cloud-based management software,Web platform development software,37,0.04199772985244041,43,144,5.264373385012919,194.78181524547801
Graphics or photo imaging software,Web platform development software,74,0.08399545970488081,172,144,2.6321866925064596,194.78181524547801
Customer relationship management CRM software,Data base management system software,42,0.04767309875141884,88,91,4.620629370629371,194.06643356643357
Object or component oriented development software,Word processing software,185,0.20998864926220204,198,785,1.0486070900083637,193.99231165154728
Data base user interface and query software,Graphics or photo imaging software,125,0.14188422247446084,413,172,1.5502702854890478,193.78378568613098
Application server software,Data mining software,18,0.02043132803632236,41,36,10.74390243902439,193.39024390243904
Application server software,Web platform development software,36,0.04086265607264472,41,144,5.371951219512195,193.39024390243904
Computer aided design CAD software,Object or component oriented development software,91,0.10329171396140749,192,198,2.10887521043771,191.90764414983164
Analytical or scientific software,Spreadsheet software,186,0.21112372304199772,186,854,1.031615925058548,191.88056206088993
Computer aided design CAD software,Word processing software,181,0.2054483541430193,192,785,1.057994957537155,191.49708731422504
Analytical or scientific software,Word processing software,177,0.20090805902383654,186,785,1.0679884939387714,189.03396342716255
File versioning software,Web platform development software,40,0.04540295119182747,52,144,4.706196581196581,188.24786324786322
Computer aided design CAD software,Project management software,95,0.10783200908059024,192,221,1.9724500377073908,187.38275358220213
Project management software,Web platform development software,82,0.09307604994324631,221,144,2.2700477626948214,186.14391654097537
Analytical or scientific software,Web platform development software,75,0.0851305334846765,186,144,2.4669578853046596,185.02184139784947
Operating system software,Project management software,123,0.13961407491486946,326,221,1.5040807262027036,185.00192932293254
Graphics or photo imaging software,Video creation and editing software,38,0.043132803632236094,172,40,4.865988372093024,184.9075581395349
Analytical or scientific software,File versioning software,45,0.0510783200908059,186,52,4.09894540942928,184.4525434243176
Computer aided design CAD software,Presentation software,159,0.18047673098751418,192,629,1.1599016295707472,184.4243591017488
Development environment software,Presentation software,138,0.15664018161180476,145,629,1.333019023079875,183.95662518502277
Development environment software,Object oriented data base management software,31,0.03518728717366629,145,32,5.885991379310345,182.46573275862067
Business intelligence and data analysis software,Customer relationship management CRM software,38,0.043132803632236094,80,88,4.755397727272728,180.70511363636365
Graphics or photo imaging software,Office suite software,169,0.19182746878547105,172,813,1.0647401241454275,179.94108098057725
Analytical or scientific software,Operating system software,111,0.12599318955732122,186,326,1.6127547991292301,179.01578270334454
Content workflow software,Process mapping and design software,34,0.03859250851305335,39,146,5.260625219529329,178.8612574639972
Document management software,Operating system software,129,0.14642451759364358,252,326,1.3833990651475314,178.45847940403155
Operating system software,Process mapping and design software,98,0.1112372304199773,326,146,1.8139759643667535,177.76964450794185
Presentation software,Web platform development software,135,0.1532349602724177,629,144,1.3130961844197138,177.26798489666135
Cloud-based management software,Internet directory services software,11,0.012485811577752554,43,14,16.09800664451827,177.07807308970098
Computer aided design CAD software,Enterprise resource planning ERP software,107,0.12145289443813848,192,297,1.6531109708193041,176.88287387766553
Expert system software,Network security and virtual private network VPN equipment software,8,0.009080590238365494,29,11,22.094043887147333,176.75235109717866
Configuration management software,Development environment software,30,0.0340522133938706,31,145,5.879866518353727,176.39599555061181
Business intelligence and data analysis software,Data mining software,24,0.02724177071509648,80,36,7.341666666666667,176.2
Geographic information system,Object or component oriented development software,60,0.0681044267877412,91,198,2.9337329337329336,176.02397602397602
Enterprise application integration software,Project management software,65,0.07377979568671963,96,221,2.699142156862745,175.44424019607843
Business intelligence and data analysis software,Enterprise application integration software,39,0.04426787741203178,80,96,4.473828125,174.479296875
Development environment software,Document management software,85,0.09648127128263337,145,252,2.049397920087575,174.19882320744387
Analytical or scientific software,Computer aided design CAD software,84,0.09534619750283768,186,192,2.072244623655914,174.06854838709677
Data mining software,Web platform development software,32,0.036322360953461974,36,144,5.438271604938271,174.02469135802468
Data base management system software,Data base user interface and query software,86,0.09761634506242906,91,413,2.0159646648750766,173.37296117925658
Graphics or photo imaging software,Word processing software,163,0.18501702610669693,172,785,1.063568360242927,173.36164271959709
Enterprise resource planning ERP software,Operating system software,138,0.15664018161180476,297,326,1.2556856912685133,173.28462539505483
Analytical or scientific software,Graphics or photo imaging software,79,0.08967082860385925,186,172,2.175512628157039,171.8654976244061
Graphics or photo imaging software,Spreadsheet software,168,0.19069239500567536,172,854,1.0076248570339306,169.28097598170032
Data base reporting software,Enterprise application integration software,23,0.026106696935300794,29,96,7.27837643678161,167.40265804597703
Computer aided design CAD software,Electronic mail software,152,0.17253121452894438,192,638,1.0931948798328108,166.16562173458723
Analytical or scientific software,Enterprise application integration software,58,0.06583427922814983,186,96,2.861671146953405,165.9769265232975
Analytical or scientific software,Enterprise resource planning ERP software,102,0.11577752553916004,186,297,1.6266970783099814,165.9231019876181
Cloud-based management software,Object or component oriented development software,40,0.04540295119182747,43,198,4.139065069297627,165.56260277190506
Expert system software,Web platform development software,28,0.03178206583427923,29,144,5.907088122605364,165.39846743295018
Configuration management software,Network security and virtual private network VPN equipment software,8,0.009080590238365494,31,11,20.668621700879765,165.34897360703812
Object oriented data base management software,Procedure management software,6,0.00681044267877412,32,6,27.53125,165.1875
Configuration management software,Internet directory services software,9,0.01021566401816118,31,14,18.26958525345622,164.426267281106
Development environment software,Expert system software,28,0.03178206583427923,145,29,5.866349583828775,164.2577883472057
Graphics or photo imaging software,Project management software,84,0.09534619750283768,172,221,1.9468588866673682,163.53614648005893
Customer relationship management CRM software,Project management software,60,0.0681044267877412,88,221,2.7180172768408064,163.0810366104484
Business intelligence and data analysis software,Content workflow software,24,0.02724177071509648,80,39,6.776923076923077,162.64615384615385
Analytical or scientific software,Document management software,93,0.10556186152099886,186,252,1.748015873015873,162.5654761904762
Data base management system software,Document management software,65,0.07377979568671963,91,252,2.4971655328798184,162.3157596371882
Development environment software,Enterprise resource planning ERP software,89,0.10102156640181612,145,297,1.8207128758852897,162.04344595379078
Enterprise resource planning ERP software,Object or component oriented development software,104,0.11804767309875142,297,198,1.5580723055470531,162.0395197768935
Process mapping and design software,Web platform development software,62,0.07037457434733257,146,144,2.598078386605784,161.08085996955862
Content workflow software,Development environment software,32,0.036322360953461974,39,145,4.985322723253757,159.53032714412024
Office suite software,Process mapping and design software,146,0.16572077185017026,813,146,1.083640836408364,158.21156211562115
Business intelligence and data analysis software,Data base user interface and query software,77,0.08740068104426787,80,413,2.053177966101695,158.0947033898305
Data base user interface and query software,Enterprise application integration software,84,0.09534619750283768,413,96,1.8665254237288136,156.78813559322035
Business intelligence and data analysis software,Configuration management software,21,0.02383654937570942,80,31,7.46008064516129,156.6616935483871
Business intelligence and data analysis software,Project management software,56,0.06356413166855845,80,221,2.790497737556561,156.26787330316742
Enterprise application integration software,Graphics or photo imaging software,54,0.06129398410896708,96,172,2.8811773255813953,155.58357558139534
Document management software,Web platform development software,80,0.09080590238365494,252,144,1.9422398589065257,155.37918871252205
Electronic mail software,Graphics or photo imaging software,139,0.15777525539160045,638,172,1.1159418969162354,155.1159236713567
Human resources software,Time accounting software,4,0.004540295119182747,7,13,38.72527472527473,154.90109890109892
Configuration management software,Switch or router software,7,0.007945516458569807,31,9,22.10394265232975,154.72759856630825
Configuration management software,Data mining software,14,0.015891032917139614,31,36,11.051971326164875,154.72759856630825
Business intelligence and data analysis software,File versioning software,27,0.03064699205448354,80,52,5.718028846153846,154.38677884615385
Office suite software,Web platform development software,143,0.1623155505107832,813,144,1.0761155528221948,153.88452405357387
Development environment software,Geographic information system,48,0.05448354143019296,145,91,3.2048503220917017,153.8328154604017
Data base user interface and query software,Geographic information system,81,0.09194097616345062,413,91,1.8987574169172232,153.7993507702951
Application server software,Internet directory services software,10,0.011350737797956867,41,14,15.348432055749129,153.4843205574913
Graphics or photo imaging software,Object or component oriented development software,77,0.08740068104426787,172,198,1.991925064599483,153.3782299741602
Development environment software,Office suite software,143,0.1623155505107832,145,813,1.0686940662510074,152.82325147389406
Cloud-based management software,Process mapping and design software,33,0.03745743473325766,43,146,4.630933418286078,152.82080280344059
Application server software,Switch or router software,8,0.009080590238365494,41,9,19.100271002710027,152.80216802168022
Cloud-based data access and sharing software,Customer relationship management CRM software,21,0.02383654937570942,29,88,7.249608150470219,152.2417711598746
Content workflow software,Web platform development software,31,0.03518728717366629,39,144,4.8630698005698,150.7551638176638
Process mapping and design software,Word processing software,140,0.15891032917139614,146,785,1.076171363755344,150.66399092574818
Process mapping and design software,Spreadsheet software,146,0.16572077185017026,146,854,1.031615925058548,150.615925058548
Enterprise application integration software,Operating system software,73,0.08286038592508513,96,326,2.054991053169734,150.0143468813906
Object oriented data base management software,Web platform development software,28,0.03178206583427923,32,144,5.353298611111112,149.89236111111111
Document management software,Enterprise application integration software,64,0.07264472190692395,252,96,2.3306878306878307,149.16402116402116
Application server software,Object or component oriented development software,37,0.04199772985244041,41,198,4.015397881251539,148.56972160630696
Customer relationship management CRM software,Data mining software,23,0.026106696935300794,88,36,6.3961489898989905,147.1114267676768
Desktop publishing software,Web platform development software,46,0.05221339387060159,88,144,3.1980744949494953,147.1114267676768
Data mining software,Procedure management software,6,0.00681044267877412,36,6,24.47222222222222,146.83333333333331
Data mining software,Enterprise application integration software,24,0.02724177071509648,36,96,6.118055555555555,146.83333333333331
Geographic information system,Object oriented data base management software,22,0.024971623155505107,91,32,6.655906593406594,146.42994505494508
Computer aided design CAD software,Development environment software,68,0.0771850170261067,192,145,2.1518678160919538,146.32701149425284
Customer relationship management CRM software,Development environment software,46,0.05221339387060159,88,145,3.1760188087774295,146.09686520376175
Sales and marketing software,Video conferencing software,20,0.022701475595913734,35,69,7.296066252587992,145.92132505175985
Cloud-based management software,Switch or router software,8,0.009080590238365494,43,9,18.21188630490956,145.69509043927647
Process mapping and design software,Program testing software,26,0.029511918274687854,146,28,5.6032289628180045,145.68395303326812
Analytical or scientific software,Electronic mail software,140,0.15891032917139614,186,638,1.0393703441534363,145.51184818148107
Development environment software,Spreadsheet software,143,0.1623155505107832,145,854,1.0173867398853267,145.48630380360171
Spreadsheet software,Web platform development software,142,0.1611804767309875,854,144,1.0172879260994014,144.454885506115
Computer aided design CAD software,Data base user interface and query software,114,0.12939841089670828,192,413,1.266570823244552,144.38907384987894
Enterprise system management software,Network security and virtual private network VPN equipment software,3,0.00340522133938706,5,11,48.054545454545455,144.16363636363636
Configuration management software,Web platform development software,27,0.03064699205448354,31,144,5.328629032258064,143.87298387096774
Internet directory services software,Program testing software,8,0.009080590238365494,14,28,17.979591836734695,143.83673469387756
Data mining software,Project management software,36,0.04086265607264472,36,221,3.986425339366516,143.5113122171946
Document management software,Object or component oriented development software,90,0.1021566401816118,252,198,1.5891053391053391,143.0194805194805
Cloud-based data access and sharing software,Video conferencing software,18,0.02043132803632236,29,69,7.925037481259371,142.65067466266868
Electronic mail software,Object or component oriented development software,143,0.1623155505107832,638,198,0.9973005921281785,142.61398467432952
Data base reporting software,Data mining software,13,0.014755959137343927,29,36,10.97030651340996,142.6139846743295
Data mining software,Expert system software,13,0.014755959137343927,36,29,10.97030651340996,142.6139846743295
Computer aided design CAD software,Geographic information system,53,0.060158910329171394,192,91,2.672447344322344,141.63970924908423
Data base reporting software,Development environment software,26,0.029511918274687854,29,145,5.447324613555292,141.6304399524376
Data base management system software,Operating system software,69,0.07832009080590238,91,326,2.0491134632238928,141.3888289624486
Content workflow software,Data mining software,15,0.0170261066969353,39,36,9.412393162393162,141.18589743589743
Network security and virtual private network VPN equipment software,Program testing software,7,0.007945516458569807,11,28,20.022727272727273,140.1590909090909
Analytical or scientific software,Customer relationship management CRM software,51,0.05788876276958002,186,88,2.745051319648094,139.9976173020528
Web platform development software,Word processing software,134,0.15209988649262202,144,785,1.0443559801840059,139.9437013446568
Electronic mail software,Process mapping and design software,121,0.1373439273552781,638,146,1.1444260746339159,138.47555503070382
Data base management system software,Program testing software,20,0.022701475595913734,91,28,6.9152276295133435,138.30455259026687
